2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,IRSD,IRSAD,IER,IEO
13409,Rookwood (NSW),3.0,Y,Y,Y,Y
13448,Royal National Park,42.0,Y,Y,Y,N
13488,Sandbar,0.0,Y,Y,Y,Y
13497,Sandy Crossing,26.0,Y,Y,Y,Y
13567,Singletons Mill,3.0,Y,Y,Y,Y
13568,Six Mile Swamp,0.0,Y,Y,Y,Y
13574,Smiggin Holes,19.0,Y,Y,Y,N
13583,Snowy Plain,0.0,Y,Y,Y,Y
13650,St George (NSW),0.0,Y,Y,Y,Y
13671,Steam Plains,0.0,Y,Y,Y,Y
13725,Swans Crossing,0.0,Y,Y,Y,Y
13750,Tallowal,0.0,Y,Y,Y,Y
13767,Tantangara,0.0,Y,Y,Y,Y
13828,The Basin (NSW),0.0,Y,Y,Y,Y
13833,The Devils Wilderness,0.0,Y,Y,Y,Y
13837,The Gap (Richmond Valley - NSW),0.0,Y,Y,Y,Y
13840,The Gulf,0.0,Y,Y,Y,Y
13848,The Pilliga,0.0,Y,Y,Y,Y
13857,The Sandon,0.0,Y,Y,Y,Y
13879,Tichular,0.0,Y,Y,Y,Y
13883,Tilligerry Creek,0.0,Y,Y,Y,Y
13904,Tolbar,0.0,Y,Y,Y,Y
13906,Tolwong,0.0,Y,Y,Y,Y
13910,Tombong,0.0,Y,Y,Y,Y
13942,Touga,0.0,Y,Y,Y,Y
13944,Towallum,0.0,Y,Y,Y,Y
13949,Tralee,0.0,Y,Y,Y,Y
13973,Tullarwalla,0.0,Y,Y,Y,Y
14007,Twelve Mile Peg,0.0,Y,Y,Y,Y
14008,Twenty Forests,0.0,Y,Y,Y,Y
14041,Upper Duck Creek,0.0,Y,Y,Y,Y
14054,Upper Mangrove,0.0,Y,Y,Y,Y
14095,Violet Hill,0.0,Y,Y,Y,Y
14099,Wadbilliga,0.0,Y,Y,Y,Y
14194,Warrumbungle,0.0,Y,Y,Y,Y
14196,Washpool (Clarence Valley - NSW),0.0,Y,Y,Y,Y
14212,Wattle Ridge (NSW),0.0,Y,Y,Y,Y
14251,Werrikimbe,0.0,Y,Y,Y,Y
14275,Westdale (Snowy Valleys - NSW),0.0,Y,Y,Y,Y
14308,Wild Cattle Creek,0.0,Y,Y,Y,Y
14326,Willurah,0.0,Y,Y,Y,Y
14327,Wilpinjong,0.0,Y,Y,Y,Y
14332,Winburndale,0.0,Y,Y,Y,Y
14345,Windy,0.0,Y,Y,Y,Y
14356,Wirraba,0.0,Y,Y,Y,Y
14364,Wog Wog (Bega Valley - NSW),0.0,Y,Y,Y,Y
14368,Wollangambe,0.0,Y,Y,Y,Y
14370,Wollemi,0.0,Y,Y,Y,Y
14383,Wombat Creek (NSW),0.0,Y,Y,Y,Y
14386,Womerah,0.0,Y,Y,Y,Y
14388,Wonboyn North,0.0,Y,Y,Y,Y
14437,Worlds End (NSW),3.0,Y,Y,Y,Y
14439,Woronora Dam,0.0,Y,Y,Y,Y
14455,Wybung,0.0,Y,Y,Y,Y
14470,Yagon,0.0,Y,Y,Y,Y
14475,Yalwal,0.0,Y,Y,Y,Y
14477,Yambulla,0.0,Y,Y,Y,Y
14481,Yankees Creek,0.0,Y,Y,Y,Y
14497,Yarrangobilly,0.0,Y,Y,Y,Y
14500,Yarratt Forest,0.0,Y,Y,Y,Y
14527,Yerranderie,4.0,Y,Y,Y,Y
14540,Yuraygir,0.0,Y,Y,Y,Y
19494,No usual address (NSW),11371.0,Y,Y,Y,Y
19797,Migratory - Offshore - Shipping (NSW),0.0,Y,Y,Y,Y
20004,Aberfeldy,7.0,Y,Y,Y,Y
20006,Ada,0.0,Y,Y,Y,Y
20012,Aire Valley,0.0,Y,Y,Y,Y
20016,Albacutya,0.0,Y,Y,Y,Y
20055,Arbuckle,0.0,Y,Y,Y,Y
20167,Baw Baw (Vic.),0.0,Y,Y,Y,Y
20168,Baw Baw Village,30.0,Y,Y,Y,Y
