sal_code,sal_name,irsad_score,irsad_decile,ier_score,population
20638,Corindhap,950.4981745,3.0,1008.793952,131.0
20639,Corinella (Vic.),931.8289931,3.0,989.6688502,1181.0
20640,Corio,827.459044,1.0,884.7170268,15497.0
20641,Corndale (Vic.),1033.603464,8.0,1070.202629,27.0
20642,Cornella,992.5391261,6.0,1034.643935,43.0
20643,Cornishtown,1004.552664,7.0,1056.787979,94.0
20644,Coronet Bay,890.094574,2.0,959.7016429,1108.0
20645,Corop,979.2559656,5.0,1026.029831,161.0
20646,Cororooke,932.554588,3.0,1009.128874,358.0
20647,Corringle,930.6119031,3.0,978.5383493,17.0
20648,Corryong,925.2270391,2.0,938.3220581,1352.0
20649,Corunnun,955.1291291,4.0,1019.032312,119.0
20650,Cosgrove (Vic.),1050.960427,9.0,1039.644959,50.0
20651,Cosgrove South,1050.960427,9.0,1039.644959,53.0
20652,Costerfield,941.885406,3.0,982.0237849,70.0
20653,Cotswold,897.9701963,2.0,955.1780043,20.0
20654,Cottles Bridge,1086.35413,10.0,1104.871165,609.0
20656,Cowangie,1059.964655,9.0,1084.933146,33.0
20657,Cowes,943.4778549,3.0,969.7334901,6593.0
20658,Cowleys Creek,1008.465985,7.0,1032.685691,34.0
20659,Cowwarr,993.670089,6.0,1047.58826,389.0
20660,Craigie (Vic.),935.5139864,3.0,1012.972249,62.0
20661,Craigieburn,956.0397958,4.0,1013.913082,65178.0
20662,Cranbourne,906.3431731,2.0,965.9655659,21281.0
20663,Cranbourne East,984.7675545,5.0,1047.96088,24679.0
20664,Cranbourne North,972.9448293,5.0,1033.330174,24683.0
20665,Cranbourne South,1035.668691,8.0,1111.046726,3241.0
20666,Cranbourne West,966.4096793,4.0,1031.519293,19969.0
20667,Creek Junction,973.603183,5.0,986.9750491,34.0
20668,Creek View,992.5391261,6.0,1034.643935,39.0
20669,Creightons Creek,1053.875717,9.0,1055.971292,162.0
20670,Cremorne (Vic.),1174.530875,10.0,995.9801098,2158.0
20671,Cressy (Vic.),980.5824916,5.0,1024.303045,176.0
20672,Creswick,932.7742469,3.0,964.959406,3279.0
20673,Creswick North,980.9896098,5.0,1036.86057,55.0
20674,Crib Point,940.3007215,3.0,1000.527291,3343.0
20677,Cross Roads (Vic.),1067.633367,9.0,1045.803262,27.0
20678,Crossley,1035.403557,8.0,1090.691317,235.0
20679,Crossover,1005.016547,7.0,1076.024714,161.0
20680,Crowlands,953.2862291,4.0,988.3305171,72.0
20681,Croxton East,1047.546172,9.0,1086.705864,70.0
20682,Croydon (Vic.),1008.014865,7.0,1001.65303,28608.0
20683,Croydon Hills,1080.022336,10.0,1108.543632,4839.0
20684,Croydon North,1058.395229,9.0,1072.45233,8092.0
20685,Croydon South,1023.365352,8.0,1035.175821,4759.0
20686,Crymelon,959.1168671,4.0,1028.064864,15.0
20687,Cudgee,994.3795925,6.0,1045.043567,311.0
20688,Cudgewa,993.9882555,6.0,1036.85082,254.0
20689,Culgoa,994.3657036,6.0,994.8221283,86.0
20690,Culla,1088.846283,10.0,1110.440233,31.0
